Timestamp,hdc1080,install_box_location,Testo
20:06:24,21.79,out,21.6
20:06:25,21.94,out,21.6
20:06:25,21.82,out,21.6
20:06:26,21.86,out,21.6
20:06:26,21.90,out,21.6
20:06:27,21.84,out,21.6
20:06:28,22.02,out,21.6
20:06:28,21.82,out,21.6
20:06:29,21.98,out,21.6
20:06:29,21.92,out,21.6
20:06:30,21.87,out,21.6
20:06:31,21.91,out,21.6
20:06:31,21.90,out,21.6
20:06:32,21.99,out,21.6
20:06:32,21.86,out,21.6
20:06:33,22.00,out,21.6
20:06:33,22.00,out,21.6
20:06:34,21.83,out,21.6
20:06:35,21.79,out,21.6
20:06:35,21.86,out,21.6
20:06:36,21.80,out,21.6
20:06:36,21.96,out,21.6
20:06:37,21.91,out,21.6
20:06:37,21.98,out,21.6
20:06:38,21.94,out,21.6
20:06:39,21.64,out,21.6
20:06:39,21.80,out,21.6
20:06:40,21.79,out,21.6
20:06:40,21.77,out,21.6
20:06:41,21.86,out,21.6
20:06:41,21.68,out,21.6
20:06:42,21.91,out,21.6
20:06:43,21.94,out,21.6
20:06:43,21.83,out,21.6
20:06:44,21.82,out,21.6
20:06:44,21.82,out,21.6
20:06:45,21.86,out,21.6
20:06:45,21.86,out,21.6
20:06:46,21.84,out,21.6
20:06:47,21.77,out,21.6
20:06:47,21.79,out,21.6
20:06:48,21.77,out,21.6
20:06:48,21.79,out,21.6
20:06:49,21.72,out,21.6
20:06:49,21.74,out,21.6
20:06:50,21.79,out,21.6
20:06:51,21.83,out,21.6
20:06:51,21.87,out,21.6
20:06:52,21.59,out,21.6
20:06:52,21.82,out,21.6
20:06:53,21.75,out,21.6
20:06:53,21.68,out,21.6
20:06:54,21.79,out,21.6
20:06:55,21.84,out,21.6
20:06:55,21.77,out,21.6
20:06:56,21.82,out,21.6
20:06:56,21.65,out,21.6
20:06:57,21.65,out,21.6
20:06:58,21.84,out,21.6
20:06:58,21.75,out,21.6
20:06:59,21.68,out,21.6
20:06:59,21.79,out,21.6
20:07:00,21.84,out,21.6
20:07:00,21.86,out,21.6
20:07:01,21.79,out,21.6
20:07:01,21.64,out,21.6
20:07:02,21.77,out,21.6
20:07:03,21.84,out,21.6
20:07:03,21.64,out,21.6
20:07:04,21.84,out,21.6
20:07:04,21.69,out,21.6
20:07:05,21.72,out,21.6
20:07:05,21.82,out,21.6
20:07:06,21.86,out,21.6
20:07:07,21.65,out,21.6
20:07:07,21.75,out,21.6
20:07:08,21.75,out,21.6
20:07:08,21.77,out,21.6
20:07:09,21.65,out,21.6
20:07:09,21.67,out,21.6
20:07:10,21.75,out,21.6
20:07:11,21.67,out,21.6
20:07:11,21.79,out,21.6
20:07:12,21.77,out,21.6
20:07:12,21.67,out,21.6
20:07:13,21.75,out,21.6
20:07:13,21.80,out,21.6
20:07:14,21.64,out,21.6
20:07:15,21.56,out,21.6
20:07:15,21.79,out,21.6
20:07:16,21.86,out,21.6
20:07:16,21.65,out,21.6
20:07:17,21.83,out,21.6
20:07:17,21.71,out,21.6
20:07:18,21.74,out,21.6
20:07:19,21.77,out,21.6
20:07:19,21.72,out,21.6
20:07:20,21.67,out,21.6
20:07:20,21.61,out,21.6
20:07:21,21.91,out,21.6
20:07:21,21.72,out,21.6
20:07:22,21.72,out,21.6
20:07:23,21.71,out,21.6
20:07:23,21.54,out,21.6
20:07:24,21.67,out,21.6
20:07:24,21.58,out,21.6
20:07:25,21.65,out,21.6
20:07:25,21.68,out,21.6
20:07:26,21.50,out,21.6
20:07:27,21.61,out,21.6
20:07:27,21.56,out,21.6
20:07:28,21.75,out,21.6
20:07:28,21.75,out,21.6
20:07:29,21.56,out,21.6
20:07:29,21.65,out,21.6
20:07:30,21.82,out,21.6
20:07:31,21.79,out,21.6
20:07:31,21.79,out,21.6
20:07:32,21.68,out,21.6
20:07:32,21.62,out,21.6
20:07:33,21.74,out,21.6
20:07:33,21.69,out,21.6
20:07:34,21.68,out,21.6
20:07:35,21.82,out,21.6
20:07:35,21.62,out,21.6
20:07:36,21.71,out,21.6
20:07:36,21.67,out,21.6
20:07:37,21.61,out,21.6
20:07:38,21.59,out,21.6
20:07:38,21.61,out,21.6
20:07:39,21.69,out,21.6
20:07:39,21.58,out,21.6
20:07:40,21.80,out,21.6
20:07:40,21.59,out,21.6
20:07:41,21.65,out,21.6
20:07:42,21.71,out,21.6
20:07:42,21.61,out,21.6
20:07:43,21.72,out,21.6
20:07:43,21.61,out,21.6
20:07:44,21.86,out,21.6
20:07:44,21.49,out,21.6
20:07:45,21.75,out,21.6
20:07:45,21.72,out,21.6
20:07:46,21.61,out,21.6
20:07:47,21.61,out,21.6
20:07:47,21.69,out,21.6
20:07:48,21.52,out,21.6
20:07:48,21.69,out,21.6
20:07:49,21.67,out,21.6
20:07:50,21.65,out,21.6
20:07:50,21.54,out,21.6
20:07:51,21.62,out,21.6
20:07:51,21.67,out,21.6
20:07:52,21.61,out,21.6
20:07:52,21.56,out,21.6
20:07:53,21.62,out,21.6
20:07:54,21.65,out,21.6
20:07:54,21.56,out,21.6
20:07:55,21.71,out,21.6
20:07:55,21.74,out,21.6
20:07:56,21.65,out,21.6
20:07:56,21.56,out,21.6
20:07:57,21.56,out,21.6
20:07:58,21.74,out,21.6
20:07:58,21.64,out,21.6
20:07:59,21.67,out,21.6
20:07:59,21.64,out,21.6
20:08:00,21.69,out,21.6
20:08:00,21.74,out,21.6
20:08:01,21.59,out,21.6
20:08:02,21.56,out,21.6
20:08:02,21.68,out,21.6
20:08:03,21.61,out,21.6
20:08:03,21.71,out,21.6
20:08:04,21.74,out,21.6
20:08:04,21.62,out,21.6
20:08:05,21.74,out,21.6
20:08:06,21.64,out,21.6
20:08:06,21.64,out,21.6
20:08:07,21.67,out,21.6
20:08:07,21.56,out,21.6
20:08:08,21.68,out,21.6
20:08:08,21.56,out,21.6
20:08:09,21.50,out,21.6
20:08:10,21.61,out,21.6
20:08:10,21.54,out,21.6
20:08:11,21.52,out,21.6
20:08:11,21.56,out,21.6
20:08:12,21.58,out,21.6
20:08:12,21.62,out,21.6
20:08:13,21.52,out,21.6
20:08:14,21.47,out,21.6
20:08:14,21.56,out,21.6
20:08:15,21.61,out,21.6
20:08:15,21.62,out,21.6
20:08:16,21.50,out,21.6
20:08:16,21.59,out,21.6
20:08:17,21.65,out,21.6
20:08:18,21.46,out,21.6
20:08:18,21.65,out,21.6
20:08:19,21.59,out,21.6
20:08:19,21.61,out,21.6
20:08:20,21.53,out,21.6
20:08:20,21.54,out,21.6
20:08:21,21.68,out,21.6
20:08:22,21.72,out,21.6
20:08:22,21.52,out,21.6
20:08:23,21.67,out,21.6
20:08:23,21.71,out,21.6
20:08:24,21.62,out,21.6
20:08:24,21.53,out,21.6
20:08:25,21.54,out,21.6
20:08:26,21.62,out,21.6
20:08:26,21.61,out,21.6
20:08:27,21.65,out,21.6
20:08:27,21.40,out,21.6
20:08:28,21.65,out,21.6
20:08:28,21.79,out,21.6
20:08:29,21.46,out,21.6
20:08:30,21.65,out,21.6
20:08:30,21.52,out,21.6
20:08:31,21.49,out,21.6
20:08:31,21.53,out,21.6
20:08:32,21.54,out,21.6
20:08:32,21.53,out,21.6
20:08:33,21.58,out,21.6
20:08:34,21.58,out,21.6
20:08:34,21.46,out,21.6
20:08:35,21.49,out,21.6
20:08:35,21.54,out,21.6
20:08:36,21.62,out,21.6
20:08:36,21.43,out,21.6
20:08:37,21.40,out,21.6
20:08:38,21.62,out,21.6
20:08:38,21.59,out,21.6
20:08:39,21.52,out,21.6
20:08:39,21.52,out,21.6
20:08:40,21.44,out,21.6
20:08:40,21.53,out,21.6
20:08:41,21.59,out,21.6
20:08:42,21.50,out,21.6
20:08:42,21.37,out,21.6
20:08:43,21.54,out,21.6
20:08:43,21.50,out,21.6
20:08:44,21.65,out,21.6
20:08:44,21.54,out,21.6
20:08:45,21.59,out,21.6
20:08:46,21.52,out,21.6
20:08:46,21.61,out,21.6
20:08:47,21.61,out,21.6
20:08:47,21.53,out,21.6
20:08:48,21.52,out,21.6
20:08:48,21.29,out,21.6
20:08:49,21.56,out,21.6
20:08:50,21.50,out,21.6
20:08:50,21.59,out,21.6
20:08:51,21.54,out,21.6
20:08:51,21.59,out,21.6
20:08:52,21.49,out,21.6
20:08:52,21.74,out,21.6
20:08:53,21.64,out,21.6
20:08:54,21.62,out,21.6
20:08:54,21.38,out,21.6
20:08:55,21.62,out,21.6
20:08:55,21.61,out,21.6
20:08:56,21.43,out,21.6
20:08:57,21.50,out,21.6
20:08:57,21.53,out,21.6
20:08:58,21.64,out,21.6
20:08:58,21.54,out,21.6
20:08:59,21.54,out,21.6
20:08:59,21.62,out,21.6
20:09:00,21.44,out,21.6
20:09:01,21.52,out,21.6
20:09:01,21.61,out,21.6
20:09:02,21.47,out,21.6
20:09:02,21.40,out,21.6
20:09:03,21.59,out,21.6
20:09:03,21.52,out,21.6
20:09:04,21.44,out,21.6
20:09:05,21.62,out,21.6
20:09:05,21.53,out,21.6
20:09:06,21.59,out,21.6
20:09:06,21.54,out,21.6
20:09:07,21.49,out,21.6
20:09:07,21.43,out,21.6
20:09:08,21.43,out,21.6
20:09:09,21.47,out,21.6
20:09:09,21.56,out,21.6
20:09:10,21.62,out,21.6
20:09:10,21.50,out,21.6
20:09:11,21.35,out,21.6
20:09:11,21.43,out,21.6
20:09:12,21.61,out,21.6
20:09:13,21.67,out,21.6
20:09:13,21.54,out,21.6
20:09:14,21.61,out,21.6
20:09:14,21.52,out,21.6
20:09:15,21.47,out,21.6
20:09:15,21.47,out,21.6
20:09:16,21.56,out,21.6
20:09:17,21.53,out,21.6
20:09:17,21.58,out,21.6
20:09:18,21.50,out,21.6
20:09:18,21.52,out,21.6
20:09:19,21.65,out,21.6
20:09:19,21.58,out,21.6
20:09:20,21.53,out,21.6
20:09:21,21.42,out,21.6
20:09:21,21.61,out,21.6
20:09:22,21.59,out,21.6
20:09:22,21.40,out,21.6
20:09:23,21.62,out,21.6
20:09:23,21.47,out,21.6
20:09:24,21.43,out,21.6
20:09:25,21.37,out,21.6
20:09:25,21.53,out,21.6
20:09:26,21.49,out,21.6
20:09:26,21.49,out,21.6
20:09:27,21.52,out,21.6
20:09:27,21.46,out,21.6
20:09:28,21.43,out,21.6
20:09:29,21.67,out,21.6
20:09:29,21.53,out,21.6
20:09:30,21.59,out,21.6
20:09:30,21.53,out,21.6
20:09:31,21.53,out,21.6
20:09:31,21.54,out,21.6
20:09:32,21.52,out,21.6
20:09:33,21.54,out,21.6
20:09:33,21.53,out,21.6
20:09:34,21.61,out,21.6
20:09:34,21.62,out,21.6
20:09:35,21.47,out,21.6
20:09:35,21.46,out,21.6
20:09:36,21.29,out,21.6
20:09:37,21.50,out,21.6
20:09:37,21.43,out,21.6
20:09:38,21.47,out,21.6
20:09:38,21.47,out,21.6
20:09:39,21.47,out,21.6
20:09:39,21.59,out,21.6
20:09:40,21.59,out,21.6
20:09:41,21.56,out,21.6
20:09:41,21.58,out,21.6
20:09:42,21.47,out,21.6
20:09:42,21.56,out,21.6
20:09:43,21.59,out,21.6
20:09:43,21.64,out,21.6
20:09:44,21.50,out,21.6
20:09:45,21.44,out,21.6
20:09:45,21.40,out,21.6
20:09:46,21.53,out,21.6
20:09:46,21.67,out,21.6
20:09:47,21.44,out,21.6
20:09:47,21.46,out,21.6
20:09:48,21.61,out,21.6
20:09:49,21.38,out,21.6
20:09:49,21.58,out,21.6
20:09:50,21.46,out,21.6
20:09:50,21.37,out,21.6
20:09:51,21.42,out,21.6
20:09:51,21.50,out,21.6
20:09:52,21.53,out,21.6
20:09:53,21.40,out,21.6
20:09:53,21.50,out,21.6
20:09:54,21.54,out,21.6
20:09:54,21.54,out,21.6
